kind	name	category	signature	module	doc
constant	TYPE_CHECKING	animation/growing	False	manimlib.animation.growing	
class	AnimationOnSurroundingRectangle	animation/indication	(mobject: 'Mobject', stroke_width: 'float' = 2.0, stroke_color: 'ManimColor' = '#FFFF00', buff: 'float' = 0.1, **kwargs)	manimlib.animation.indication	
class	ApplyWave	animation/indication	(mobject: 'Mobject', direction: 'np.ndarray' = array([0., 1., 0.]), amplitude: 'float' = 0.2, run_time: 'float' = 1.0, **kwargs)	manimlib.animation.indication	
class	CircleIndicate	animation/indication	(mobject: 'Mobject', scale_factor: 'float' = 1.2, rate_func: 'Callable[[float], float]' = <function there_and_back at 0x7f6ff3933600>, stroke_color: 'ManimColor' = '#FFFF00', stroke_width: 'float' = 3.0, remover: 'bool' = True, **kwargs)	manimlib.animation.indication	
constant	DEG	animation/indication	0.017453292519943295	manimlib.animation.indication	
constant	FRAME_X_RADIUS	animation/indication	7.111111111111111	manimlib.animation.indication	
constant	FRAME_Y_RADIUS	animation/indication	4.0	manimlib.animation.indication	
class	Flash	animation/indication	(point: 'np.ndarray | Mobject', color: 'ManimColor' = '#FFFF00', line_length: 'float' = 0.2, num_lines: 'int' = 12, flash_radius: 'float' = 0.3, line_stroke_width: 'float' = 3.0, run_time: 'float' = 1.0, **kwargs)	manimlib.animation.indication	
class	FlashAround	animation/indication	(mobject: 'Mobject', time_width: 'float' = 1.0, taper_width: 'float' = 0.0, stroke_width: 'float' = 4.0, color: 'ManimColor' = '#FFFF00', buff: 'float' = 0.1, n_inserted_curves: 'int' = 100, **kwargs)	manimlib.animation.indication	
class	FlashUnder	animation/indication	(mobject: 'Mobject', time_width: 'float' = 1.0, taper_width: 'float' = 0.0, stroke_width: 'float' = 4.0, color: 'ManimColor' = '#FFFF00', buff: 'float' = 0.1, n_inserted_curves: 'int' = 100, **kwargs)	manimlib.animation.indication	
class	FlashyFadeIn	animation/indication	(vmobject: 'VMobject', stroke_width: 'float' = 2.0, fade_lag: 'float' = 0.0, time_width: 'float' = 1.0, **kwargs)	manimlib.animation.indication	
class	FocusOn	animation/indication	(focus_point: 'np.ndarray | Mobject', opacity: 'float' = 0.2, color: 'ManimColor' = '#888888', run_time: 'float' = 2, remover: 'bool' = True, **kwargs)	manimlib.animation.indication	
constant	GREY	animation/indication	'#888888'	manimlib.animation.indication	
class	Indicate	animation/indication	(mobject: 'Mobject', scale_factor: 'float' = 1.2, color: 'ManimColor' = '#FFFF00', rate_func: 'Callable[[float], float]' = <function there_and_back at 0x7f6ff3933600>, **kwargs)	manimlib.animation.indication	
constant	ORIGIN	animation/indication	array([0., 0., 0.])	manimlib.animation.indication	
constant	RIGHT	animation/indication	array([1., 0., 0.])	manimlib.animation.indication	
constant	SMALL_BUFF	animation/indication	0.1	manimlib.animation.indication	
class	ShowCreationThenDestruction	animation/indication	(vmobject: 'VMobject', time_width: 'float' = 2.0, **kwargs)	manimlib.animation.indication	Abstract class for ShowCreation and ShowPassingFlash
class	ShowCreationThenDestructionAround	animation/indication	(mobject: 'Mobject', stroke_width: 'float' = 2.0, stroke_color: 'ManimColor' = '#FFFF00', buff: 'float' = 0.1, **kwargs)	manimlib.animation.indication	
class	ShowCreationThenFadeAround	animation/indication	(mobject: 'Mobject', stroke_width: 'float' = 2.0, stroke_color: 'ManimColor' = '#FFFF00', buff: 'float' = 0.1, **kwargs)	manimlib.animation.indication	
class	ShowCreationThenFadeOut	animation/indication	(mobject: 'Mobject', remover: 'bool' = True, **kwargs)	manimlib.animation.indication	
class	ShowPassingFlash	animation/indication	(mobject: 'Mobject', time_width: 'float' = 0.1, remover: 'bool' = True, **kwargs)	manimlib.animation.indication	Abstract class for ShowCreation and ShowPassingFlash
class	ShowPassingFlashAround	animation/indication	(mobject: 'Mobject', stroke_width: 'float' = 2.0, stroke_color: 'ManimColor' = '#FFFF00', buff: 'float' = 0.1, **kwargs)	manimlib.animation.indication	
constant	TAU	animation/indication	6.283185307179586	manimlib.animation.indication	
constant	TYPE_CHECKING	animation/indication	False	manimlib.animation.indication	
class	TurnInsideOut	animation/indication	(mobject: 'Mobject', path_arc: 'float' = 1.5707963267948966, **kwargs)	manimlib.animation.indication	
constant	UP	animation/indication	array([0., 1., 0.])	manimlib.animation.indication	
class	VShowPassingFlash	animation/indication	(vmobject: 'VMobject', time_width: 'float' = 0.3, taper_width: 'float' = 0.05, remover: 'bool' = True, **kwargs)	manimlib.animation.indication	
class	WiggleOutThenIn	animation/indication	(mobject: 'Mobject', scale_value: 'float' = 1.1, rotation_angle: 'float' = 0.06283185307179587, n_wiggles: 'int' = 6, scale_about_point: 'np.ndarray | None' = None, rotate_about_point: 'np.ndarray | None' = None, run_time: 'float' = 2, **kwargs)	manimlib.animation.indication	
constant	YELLOW	animation/indication	'#FFFF00'	manimlib.animation.indication	
class	ComplexHomotopy	animation/movement	(complex_homotopy: 'Callable[[complex, float], complex]', mobject: 'Mobject', **kwargs)	manimlib.animation.movement	
class	Homotopy	animation/movement	(homotopy: 'Callable[[float, float, float, float], Sequence[float]]', mobject: 'Mobject', run_time: 'float' = 3.0, **kwargs)	manimlib.animation.movement	
class	MoveAlongPath	animation/movement	(mobject: 'Mobject', path: 'VMobject', suspend_mobject_updating: 'bool' = False, **kwargs)	manimlib.animation.movement	
class	PhaseFlow	animation/movement	(function: 'Callable[[np.ndarray], np.ndarray]', mobject: 'Mobject', virtual_time: 'float | None' = None, suspend_mobject_updating: 'bool' = False, rate_func: 'Callable[[float], float]' = <function linear at 0x7f6ff3932de0>, run_time: 'float' = 3.0, **kwargs)	manimlib.animation.movement	
class	SmoothedVectorizedHomotopy	animation/movement	(homotopy: 'Callable[[float, float, float, float], Sequence[float]]', mobject: 'Mobject', run_time: 'float' = 3.0, **kwargs)	manimlib.animation.movement	
constant	TYPE_CHECKING	animation/movement	False	manimlib.animation.movement	
class	ChangeDecimalToValue	animation/numbers	(decimal_mob: 'DecimalNumber', target_number: 'float | complex', **kwargs)	manimlib.animation.numbers	
class	ChangingDecimal	animation/numbers	(decimal_mob: 'DecimalNumber', number_update_func: 'Callable[[float], float]', suspend_mobject_updating: 'bool' = False, **kwargs)	manimlib.animation.numbers	
class	CountInFrom	animation/numbers	(decimal_mob: 'DecimalNumber', source_number: 'float | complex' = 0, **kwargs)	manimlib.animation.numbers	
constant	TYPE_CHECKING	animation/numbers	False	manimlib.animation.numbers	
constant	ORIGIN	animation/rotation	array([0., 0., 0.])	manimlib.animation.rotation	
constant	OUT	animation/rotation	array([0., 0., 1.])	manimlib.animation.rotation	
constant	PI	animation/rotation	3.141592653589793	manimlib.animation.rotation	
